"filename", "language", "JavaScript", "JSON", "SQL", "HTTP", "Ruby", "Python", "comment", "blank", "total"
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\USER\Broker10001format.sql", "SQL", 0, 0, 1000, 0, 0, 0, 0, 1, 1001
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\USER\Corp32.sql", "SQL", 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\USER\Corp5001format.sql", "SQL", 0, 0, 500, 0, 0, 0, 0, 1, 501
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\USER\Customer10001format.sql", "SQL", 0, 0, 1000, 0, 0, 0, 0, 1, 1001
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\USER\Customer10002format.sql", "SQL", 0, 0, 1000, 0, 0, 0, 0, 1, 1001
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\USER\Customer10003format.sql", "SQL", 0, 0, 1000, 0, 0, 0, 0, 2, 1002
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\USER\util.rb", "Ruby", 0, 0, 0, 0, 19, 0, 1, 6, 26
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\USER_CONTACT\gen.py", "Python", 0, 0, 0, 0, 0, 10, 2, 5, 17
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\USER_CONTACT\user_contact50001.sql", "SQL", 0, 0, 6749, 0, 0, 0, 0, 1, 6750
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Procedures\Daily_profit.sql", "SQL", 0, 0, 48, 0, 0, 0, 6, 8, 62
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Procedures\IS_PREM.sql", "SQL", 0, 0, 27, 0, 0, 0, 1, 0, 28
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Procedures\avgYear.sql", "SQL", 0, 0, 52, 0, 0, 0, 0, 1, 53
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Procedures\sell_order_success.sql", "SQL", 0, 0, 74, 0, 0, 0, 0, 17, 91
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Triggers\deletionTriggers.sql", "SQL", 0, 0, 172, 0, 0, 0, 0, 19, 191
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Triggers\logTriggers.sql", "SQL", 0, 0, 296, 0, 0, 0, 5, 61, 362
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Triggers\moreTriggers.sql", "SQL", 0, 0, 97, 0, 0, 0, 0, 5, 102
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Triggers\order_triggers.sql", "SQL", 0, 0, 436, 0, 0, 0, 0, 55, 491
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Triggers\referCount.sql", "SQL", 0, 0, 11, 0, 0, 0, 0, 0, 11
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Triggers\regDate.sql", "SQL", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Triggers\stock.sql", "SQL", 0, 0, 42, 0, 0, 0, 3, 5, 50
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Update\adminTable.sql", "SQL", 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Update\orderTableSymbolCorrection.sql", "SQL", 0, 0, 12, 0, 0, 0, 0, 0, 12
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\checkSchema.sql", "SQL", 0, 0, 59, 0, 0, 0, 4, 15, 78
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\createTable.sql", "SQL", 0, 0, 295, 0, 0, 0, 15, 91, 401
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\deleteTables.sql", "SQL", 0, 0, 19, 0, 0, 0, 2, 2, 23
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\deletionDML.sql", "SQL", 0, 0, 21, 0, 0, 0, 0, 2, 23
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\logDML.sql", "SQL", 0, 0, 389, 0, 0, 0, 5, 83, 477
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\orderCorrection.sql", "SQL", 0, 0, 168, 0, 0, 0, 2, 46, 216
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\app.js", "JavaScript", 32, 0, 0, 0, 0, 0, 2, 12, 46
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\config\database.js", "JavaScript", 63, 0, 0, 0, 0, 0, 3, 10, 76
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\controller\activity.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 11, 84
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\controller\admin.js", "JavaScript", 376, 0, 0, 0, 0, 0, 3, 85, 464
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\controller\broker.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 13, 79
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\controller\corporation.js", "JavaScript", 70, 0, 0, 0, 0, 0, 1, 24, 95
